No.,Slop_angle,Coefficient restitution,Friction Angle,ĵ_W,ĵ_B&G,ĵ_A,ĵ_R2,X_ave,X_95,X_cv,Z_ave,Z_95,Z_cv,R/T
1,30,0.1,20,0.805995977,0.577350269,0.367552597,0.636619772,117.9414439,119.3205967,0.00777591,1.829668338,3.456009967,0.593451524,0.003698
2,30,0.1,20,0.851298292,0.680413817,0.579959658,0.816927334,123.2047515,146.0606709,0.11093574,3.695032908,9.759097223,0.906226689,0.0187731
3,30,0.1,20,0.904997185,0.707106781,0.562697698,0.753129277,118.8785288,123.3736113,0.021981423,1.720628199,4.815210736,0.784640958,0.006773236
4,30,0.1,20,0.767663317,0.40824829,0.259898934,0.530516477,119.8402714,121.1190774,0.006769101,1.864795245,4.979782896,0.804538076,0.004405278
5,30,0.1,20,0.807248973,0.440225453,0.314147679,0.572464291,118.5424954,121.1564189,0.011277472,2.689201831,5.730510132,0.561445624,0.01086351
6,30,0.1,20,0.849754169,0.447213595,0.284705017,0.509295818,118.451958,121.7653588,0.015731516,1.305712634,3.534495654,0.681777071,0.006186945
7,30,0.1,20,0.761618473,0.333333333,0.282942121,0.565884242,120.9792563,122.68629,0.012470941,1.673263196,4.580302571,0.972259124,0.004008666
8,30,0.1,20,0.798975017,0.421075961,0.549819004,0.840001313,119.5716206,121.6945476,0.013413052,2.710197369,6.336396899,0.683602047,0.01156655
9,30,0.1,20,0.836593725,0.447213595,0.569410035,0.821174538,119.1891672,120.3524668,0.012045421,1.291023475,3.591568846,0.753533614,0.006743307
10,30,0.1,20,0.718516797,0.301511345,0.157048432,0.405121673,120.7206809,121.6414378,0.005558285,1.464090515,4.384951936,0.965998105,0.005591721
11,30,0.1,20,0.752255969,0.313727903,0.170552898,0.408827807,119.9798212,124.3663439,0.019281889,1.663943803,3.856612874,0.653581421,0.009650346
12,30,0.1,20,0.784225984,0.316227766,0.150987636,0.361564983,120.809178,126.6741352,0.025439058,1.752575985,4.498790654,0.738106215,0.00577832
